Name,Header,Library,Source,Specification
FD_CLR,sys/select.h,libc,,POSIX&UNIX
FD_ISSET,sys/select.h,libc,,POSIX&UNIX
FD_SET,sys/select.h,libc,,POSIX&UNIX
FD_ZERO,sys/select.h,libc,,POSIX&UNIX
_Exit,stdlib.h,libc,,C99
_exit,unistd.h,libc,,POSIX&UNIX
_longjmp,setjmp.h,libc,,UNIX
_setjmp,setjmp.h,libc,,UNIX
_tolower,ctype.h,libc,,UNIX
_toupper,ctype.h,libc,,UNIX
a64l,stdlib.h,libc,,UNIX
abort,stdlib.h,libc,,C89
abs,stdlib.h,libc,,C89
accept,sys/socket.h,,,POSIX&UNIX
access,unistd.h,libc,,POSIX&UNIX
acos,math.h,libm,,C89
acosf,math.h,libm,,C99
acosh,math.h,libm,,C99
acoshf,math.h,libm,,C99
acoshl,math.h,libm,,C99
acosl,math.h,libm,,C99
aio_cancel,aio.h,librt,,
aio_error,aio.h,librt,,
aio_fsync,aio.h,librt,,
aio_read,aio.h,librt,,
aio_return,aio.h,librt,,
aio_suspend,aio.h,librt,,
aio_write,aio.h,librt,,
alarm,unistd.h,libc,,POSIX&UNIX
alphasort,dirent.h,libc,,
asctime,time.h,libc,,C89
asctime_r,time.h,libc,,UNIX
asin,math.h,libm,,C89
asinf,math.h,libm,,C99
asinh,math.h,libm,,C99
asinhf,math.h,libm,,C99
asinhl,math.h,libm,,C99
asinl,math.h,libm,,C99
__assert_fail,assert.h,libc,,C89
atan2,math.h,libm,,C89
atan2f,math.h,libm,,C99
atan2l,math.h,libm,,C99
atan,math.h,libm,,C89
atanf,math.h,libm,,C99
atanh,math.h,libm,,C99
atanhf,math.h,libm,,C99
atanhl,math.h,libm,,C99
atanl,math.h,libm,,C99
atexit,stdlib.h,libc,,C89
atof,stdlib.h,libc,,C89
atoi,stdlib.h,libc,,C89
atol,stdlib.h,libc,,C89
atoll,stdlib.h,libc,,C99
basename,libgen.h,libc,xopen/libgen.c,UNIX
bind,sys/socket.h,,,POSIX&UNIX
bsearch,stdlib.h,libc,misc/array.c,C89
btowc,wchar.h,libc,misc/bwc.c,C95
cabs,math.h,libm,,C99
cabsf,math.h,libm,,C99
cabsl,math.h,libm,,C99
cacos,math.h,libm,,C99
cacosf,math.h,libm,,C99
cacosh,math.h,libm,,C99
cacoshf,math.h,libm,,C99
cacoshl,math.h,libm,,C99
cacosl,math.h,libm,,C99
calloc,stdlib.h,libc,,C89
carg,math.h,libm,,C99
cargf,math.h,libm,,C99
cargl,math.h,libm,,C99
casin,math.h,libm,,C99
casinf,math.h,libm,,C99
casinh,math.h,libm,,C99
casinhf,math.h,libm,,C99
casinhl,math.h,libm,,C99
casinl,math.h,libm,,C99
catan,math.h,libm,,C99
catanf,math.h,libm,,C99
catanh,math.h,libm,,C99
catanhf,math.h,libm,,C99
catanhl,math.h,libm,,C99
catanl,math.h,libm,,C99
catclose,langinfo.h,,,
catgets,langinfo.h,,,
catopen,langinfo.h,,,
cbrt,math.h,libm,,C99
cbrtf,math.h,libm,,C99
cbrtl,math.h,libm,,C99
ccos,math.h,libm,,C99
ccosf,math.h,libm,,C99
ccosh,math.h,libm,,C99
ccoshf,math.h,libm,,C99
ccoshl,math.h,libm,,C99
ccosl,math.h,libm,,C99
ceil,math.h,libm,,C89
ceilf,math.h,libm,,C99
ceill,math.h,libm,,C99
cexp,math.h,libm,,C99
cexpf,math.h,libm,,C99
cexpl,math.h,libm,,C99
cfgetispeed,termios.h,,,POSIX&UNIX
cfgetospeed,termios.h,,,POSIX&UNIX
cfsetispeed,termios.h,,,POSIX&UNIX
cfsetospeed,termios.h,,,POSIX&UNIX
chdir,unistd.h,libc,,POSIX&UNIX
chmod,sys/stat.h,libc,,POSIX&UNIX
chown,unistd.h,libc,,POSIX&UNIX
cimag,math.h,libm,,C99
cimagf,math.h,libm,,C99
cimagl,math.h,libm,,C99
clearerr,stdio.h,libc,,C89
clock,time.h,libc,,C89
clock_getcpuclockid,time.h,libc,,
clock_getres,time.h,libc,,
clock_gettime,time.h,libc,,
clock_nanosleep,time.h,libc,,
clock_settime,time.h,libc,,
clog,math.h,libm,,C99
clogf,math.h,libm,,C99
clogl,math.h,libm,,C99
close,unistd.h,libc,,POSIX&UNIX
closedir,dirent.h,libc,,POSIX&UNIX
closelog,syslog.h,,,UNIX
confstr,unistd.h,libc,,POSIX&UNIX
conj,math.h,libm,,C99
conjf,math.h,libm,,C99
conjl,math.h,libm,,C99
connect,sys/socket.h,,,POSIX&UNIX
copysign,math.h,libm,,C99
copysignf,math.h,libm,,C99
copysignl,math.h,libm,,C99
cos,math.h,libm,,C89
cosf,math.h,libm,,C99
cosh,math.h,libm,,C89
coshf,math.h,libm,,C99
coshl,math.h,libm,,C99
cosl,math.h,libm,,C99
cpow,math.h,libm,,C99
cpowf,math.h,libm,,C99
cpowl,math.h,libm,,C99
cproj,math.h,libm,,C99
cprojf,math.h,libm,,C99
cprojl,math.h,libm,,C99
creal,math.h,libm,,C99
crealf,math.h,libm,,C99
creall,math.h,libm,,C99
creat,fcntl.h,libc,,POSIX&UNIX
crypt,unistd.h,,,
csin,math.h,libm,,C99
csinf,math.h,libm,,C99
csinh,math.h,libm,,C99
csinhf,math.h,libm,,C99
csinhl,math.h,libm,,C99
csinl,math.h,libm,,C99
csqrt,math.h,libm,,C99
csqrtf,math.h,libm,,C99
csqrtl,math.h,libm,,C99
ctan,math.h,libm,,C99
ctanf,math.h,libm,,C99
ctanh,math.h,libm,,C99
ctanhf,math.h,libm,,C99
ctanhl,math.h,libm,,C99
ctanl,math.h,libm,,C99
ctermid,unistd.h,libc,,POSIX&UNIX
ctime,time.h,libc,,C89
ctime_r,time.h,libc,,UNIX
daylight,time.h,libc,,UNIX
dbm_clearerr,,,,UNIX
dbm_close,,,,UNIX
dbm_delete,,,,UNIX
dbm_error,,,,UNIX
dbm_fetch,,,,UNIX
dbm_firstkey,,,,UNIX
dbm_nextkey,,,,UNIX
dbm_open,,,,UNIX
dbm_store,,,,UNIX
difftime,time.h,libc,,C89
dirfd,dirent.h,,,
dirname,libgen.h,,xopen/libgen.c,UNIX
div,stdlib.h,libc,,C89
dlclose,dlfcn.h,,,
dlerror,dlfcn.h,,,
dlopen,dlfcn.h,,,
dlsym,dlfcn.h,,,
dprintf,stdio.h,libc,libc/printf.c,
drand48,stdlib.h,libc,xopen/rand48.c,UNIX
dup2,unistd.h,libc,,POSIX&UNIX
dup,unistd.h,libc,,POSIX&UNIX
duplocale,locale.h,libc,,
encrypt,unistd.h,,,
endgrent,,,,UNIX
endhostent,,,,POSIX&UNIX
endnetent,netdb.h,,,POSIX&UNIX
endprotoent,netdb.h,,,POSIX&UNIX
endpwent,,,,UNIX
endservent,netdb.h,,,POSIX&UNIX
endutxent,,,,UNIX
environ,unistd.h,,,POSIX&UNIX
erand48,stdlib.h,libc,xopen/rand48.c,UNIX
erf,math.h,libm,,C99
erfc,math.h,libm,,C99
erfcf,math.h,libm,,C99
erfcl,math.h,libm,,C99
erff,math.h,libm,,C99
erfl,math.h,libm,,C99
__errno_location,errno.h,libc,,C89
execl,unistd.h,libc,,POSIX&UNIX
execle,unistd.h,libc,,POSIX&UNIX
execlp,unistd.h,libc,,POSIX&UNIX
execv,unistd.h,libc,,POSIX&UNIX
execve,unistd.h,libc,,POSIX&UNIX
execvp,unistd.h,libc,,POSIX&UNIX
exit,stdlib.h,libc,,C89
exp2,math.h,libm,,C99
exp2f,math.h,libm,,C99
exp2l,math.h,libm,,C99
exp,math.h,libm,,C89
expf,math.h,libm,,C99
expl,math.h,libm,,C99
expm1,math.h,libm,,C99
expm1f,math.h,libm,,C99
expm1l,math.h,libm,,C99
fabs,math.h,libm,,C89
fabsf,math.h,libm,,C99
fabsl,math.h,libm,,C99
faccessat,unistd.h,,,
fattach,,,,UNIX
fchdir,unistd.h,,,
fchmod,sys/stat.h,libc,,POSIX&UNIX
fchmodat,sys/stat.h,libc,,
fchown,unistd.h,libc,,POSIX&UNIX
fchownat,unistd.h,,,
fclose,stdio.h,libc,,C89
fcntl,fcntl.h,libc,,POSIX&UNIX
fdatasync,unistd.h,,,
fdetach,,,,UNIX
fdim,math.h,libm,,C99
fdimf,math.h,libm,,C99
fdiml,math.h,libm,,C99
fdopen,stdio.h,,,POSIX&UNIX
fdopendir,dirent.h,,,
feclearexcept,fenv.h,libc,,C99
fegetenv,fenv.h,libc,,C99
fegetexceptflag,fenv.h,libc,,C99
fegetround,fenv.h,libc,,C99
feholdexcept,fenv.h,libc,,C99
feof,stdio.h,libc,,C89
feraiseexcept,fenv.h,libc,,C99
ferror,stdio.h,libc,,C89
fesetenv,fenv.h,libc,,C99
fesetexceptflag,fenv.h,libc,,C99
fesetround,fenv.h,libc,,C99
fetestexcept,fenv.h,libc,,C99
feupdateenv,fenv.h,libc,,C99
fexecve,unistd.h,,,
fflush,stdio.h,libc,,C89
ffs,strings.h,,,UNIX
fgetc,stdio.h,libc,,C89
fgetpos,stdio.h,libc,,C89
fgets,stdio.h,libc,,C89
fgetwc,wchar.h,libc,,C95
fgetws,wchar.h,libc,,C95
fileno,stdio.h,libc,,POSIX&UNIX
flockfile,stdio.h,,,
floor,math.h,libm,,C89
floorf,math.h,libm,,C99
floorl,math.h,libm,,C99
fma,math.h,libm,,C99
fmaf,math.h,libm,,C99
fmal,math.h,libm,,C99
fmax,math.h,libm,,C99
fmaxf,math.h,libm,,C99
fmaxl,math.h,libm,,C99
fmemopen,stdio.h,,,
fmin,math.h,libm,,C99
fminf,math.h,libm,,C99
fminl,math.h,libm,,C99
fmod,math.h,libm,,C89
fmodf,math.h,libm,,C99
fmodl,math.h,libm,,C99
fmtmsg,fmtmsg.h,,,UNIX
fnmatch,fnmatch.h,,,POSIX&UNIX
fopen,stdio.h,libc,,C89
fork,unistd.h,libc,,POSIX&UNIX
fpathconf,unistd.h,libc,,POSIX&UNIX
fpclassify,math.h,libm,,C99
fprintf,stdio.h,libc,libc/printf.c,C89
fputc,stdio.h,libc,,C89
fputs,stdio.h,libc,,C89
fputwc,wchar.h,libc,,C95
fputws,wchar.h,libc,,C95
fread,stdio.h,libc,,C89
free,stdlib.h,libc,,C89
freeaddrinfo,netdb.h,,,
freelocale,locale.h,libc,,
freopen,stdio.h,libc,,C89
frexp,math.h,libm,,C89
frexpf,math.h,libm,,C99
frexpl,math.h,libm,,C99
fscanf,stdio.h,libc,libio/scanf.c,C89
fseek,stdio.h,libc,,C89
fseeko,stdio.h,libc,,POSIX&UNIX
fsetpos,stdio.h,libc,,C89
fstat,sys/stat.h,libc,,POSIX&UNIX
fstatat,sys/stat.h,libc,,
fstatvfs,,,,
fsync,unistd.h,libc,,UNIX
ftell,stdio.h,libc,,C89
ftello,stdio.h,,,POSIX&UNIX
ftok,,,,UNIX
ftruncate,,,,POSIX&UNIX
ftrylockfile,,,,
ftw,,,,UNIX
funlockfile,,,,
futimens,,,,
fwide,wchar.h,libc,,C95
fwprintf,wchar.h,libc,libc/wprintf.c,C95
fwrite,stdio.h,libc,,C89
fwscanf,wchar.h,libc,libio/wscanf.c,C95
gai_strerror,,,,
getaddrinfo,,,,
getc,stdio.h,libc,,C89
getc_unlocked,stdio.h,libc,,
getchar,stdio.h,libc,,C89
getchar_unlocked,stdio.h,,,
getcwd,unistd.h,libc,,POSIX&UNIX
getdate,,,,UNIX
getdate_err,,,,UNIX
getdelim,,,,
getegid,unistd.h,libc,,POSIX&UNIX
getenv,stdlib.h,libc,,C89
geteuid,unistd.h,libc,,POSIX&UNIX
getgid,unistd.h,libc,,POSIX&UNIX
getgrent,,,,UNIX
getgrgid,,,,POSIX&UNIX
getgrgid_r,,,,
getgrnam,,,,POSIX&UNIX
getgrnam_r,,,,
getgroups,unistd.h,libc,,POSIX&UNIX
gethostent,,,,POSIX&UNIX
gethostid,unistd.h,libc,,UNIX
gethostname,unistd.h,libc,,POSIX&UNIX
getitimer,,,,UNIX
getline,,,,
getlogin,unistd.h,libc,,POSIX&UNIX
getlogin_r,unistd.h,,,
getmsg,,,,UNIX
getnameinfo,,,,
getnetbyaddr,,,,POSIX&UNIX
getnetbyname,,,,POSIX&UNIX
getnetent,,,,POSIX&UNIX
getopt,unistd.h,libc,,POSIX&UNIX
getpeername,,,,POSIX&UNIX
getpgid,unistd.h,,,
getpgrp,unistd.h,libc,,POSIX&UNIX
getpid,unistd.h,libc,,POSIX&UNIX
getpmsg,,,,UNIX
getppid,unistd.h,libc,,POSIX&UNIX
getpriority,,,,UNIX
getprotobyname,,,,POSIX&UNIX
getprotobynumber,,,,POSIX&UNIX
getprotoent,,,,POSIX&UNIX
getpwent,,,,UNIX
getpwnam,,,,POSIX&UNIX
getpwnam_r,,,,
getpwuid,,,,POSIX&UNIX
getpwuid_r,,,,
getrlimit,,,,UNIX
getrusage,,,,UNIX
gets,stdio.h,libc,,C89
getservbyname,,,,POSIX&UNIX
getservbyport,,,,POSIX&UNIX
getservent,,,,POSIX&UNIX
getsid,unistd.h,,,
getsockname,,,,POSIX&UNIX
getsockopt,,,,POSIX&UNIX
getsubopt,,,,
gettimeofday,time.h,,,UNIX
getuid,unistd.h,libc,,POSIX&UNIX
getutxent,,,,UNIX
getutxid,,,,UNIX
getutxline,,,,UNIX
getwc,wchar.h,libc,,C95
getwchar,wchar.h,libc,,C95
glob,,,,POSIX&UNIX
globfree,,,,POSIX&UNIX
gmtime,time.h,libc,,C89
gmtime_r,time.h,,,
grantpt,,,,UNIX
hcreate,search.h,,,UNIX
hdestroy,search.h,,,UNIX
hsearch,search.h,,,UNIX
htonl,,,,POSIX&UNIX
htons,,,,POSIX&UNIX
hypot,math.h,libm,,C99
hypotf,math.h,libm,,C99
hypotl,math.h,libm,,C99
iconv,,,,
iconv_close,,,,
iconv_open,,,,
if_freenameindex,,,,
if_indextoname,,,,
if_nameindex,,,,
if_nametoindex,,,,
ilogb,math.h,libm,,C99
ilogbf,math.h,libm,,C99
ilogbl,math.h,libm,,C99
imaxabs,inttypes.h,libc,,C99
imaxdiv,inttypes.h,libc,,C99
inet_addr,,,,POSIX&UNIX
inet_ntoa,,,,POSIX&UNIX
inet_ntop,,,,
inet_pton,,,,
initstate,,,,UNIX
insque,search.h ,,,UNIX
ioctl,sys/ioctl.h,libc,,UNIX
isalnum,ctype.h,libc,string/ctype.c,C89
isalnum_l,ctype.h,libc,,
isalpha,ctype.h,libc,string/ctype.c,C89
isalpha_l,ctype.h,libc,,
isascii,ctype.h,libc,,UNIX
isastream,,,,UNIX
isatty,unistd.h,libc,,POSIX&UNIX
isblank,ctype.h,libc,,C99
isblank_l,ctype.h,libc,,
iscntrl,ctype.h,libc,string/ctype.c,C89
iscntrl_l,ctype.h,libc,,
isdigit,ctype.h,libc,string/ctype.c,C89
isdigit_l,ctype.h,libc,,
isfinite,math.h,libm,,C99
isgraph,ctype.h,libc,string/ctype.c,C89
isgraph_l,ctype.h,libc,,
isgreater,math.h,libm,,C99
isgreaterequal,math.h,libm,,C99
isinf,math.h,libm,,C99
isless,math.h,libm,,C99
islessequal,math.h,libm,,C99
islessgreater,math.h,libm,,C99
islower,ctype.h,libc,string/ctype.c,C89
islower_l,ctype.h,libc,,
isnan,math.h,libm,,POSIX&UNIX
isnormal,math.h,libm,,C99
isprint,ctype.h,libc,string/ctype.c,C89
isprint_l,ctype.h,libc,,
ispunct,ctype.h,libc,string/ctype.c,C89
ispunct_l,ctype.h,libc,,
isspace,ctype.h,libc,string/ctype.c,C89
isspace_l,ctype.h,libc,,
isunordered,math.h,libm,,C99
isupper,ctype.h,libc,string/ctype.c,C89
isupper_l,ctype.h,libc,,
iswalnum,wchar.h,libc,string/wctype.c,C95
iswalnum_l,wchar.h,libc,,
iswalpha,wchar.h,libc,string/wctype.c,C95
iswalpha_l,wchar.h,libc,,
iswblank,wchar.h,libc,,C99
iswblank_l,wchar.h,libc,,
iswcntrl,wchar.h,libc,string/wctype.c,C95
iswcntrl_l,wchar.h,libc,,
iswctype,wchar.h,libc,string/wctype.c,C95
iswctype_l,wchar.h,libc,,
iswdigit,wchar.h,libc,string/wctype.c,C95
iswdigit_l,wchar.h,libc,,
iswgraph,wchar.h,libc,string/wctype.c,C95
iswgraph_l,wchar.h,libc,,
iswlower,wchar.h,libc,string/wctype.c,C95
iswlower_l,wchar.h,libc,,
iswprint,wchar.h,libc,string/wctype.c,C95
iswprint_l,wchar.h,libc,,
iswpunct,wchar.h,libc,string/wctype.c,C95
iswpunct_l,wchar.h,libc,,
iswspace,wchar.h,libc,string/wctype.c,C95
iswspace_l,wchar.h,libc,,
iswupper,wchar.h,libc,string/wctype.c,C95
iswupper_l,wchar.h,libc,,
iswxdigit,wchar.h,libc,string/wctype.c,C95
iswxdigit_l,wchar.h,libc,,
isxdigit,ctype.h,libc,string/ctype.c,C89
isxdigit_l,ctype.h,libc,,
j0,math.h,libm,,UNIX
j1,math.h,libm,,UNIX
jn,math.h,libm,,UNIX
jrand48,stdlib.h,libc,xopen/rand48.c,UNIX
kill,signal.h,libc,,POSIX&UNIX
killpg,signal.h,libc,,UNIX
l64a,stdlib.h,libc,,UNIX
labs,stdlib.h,libc,,C89
lchown,unistd.h,,,
lcong48,stdlib.h,libc,xopen/rand48.c,UNIX
ldexp,math.h,libm,,C89
ldexpf,math.h,libm,,C99
ldexpl,math.h,libm,,C99
ldiv,stdlib.h,libc,,C89
lfind,search.h,,,UNIX
lgamma,math.h,libm,,C99
lgammaf,math.h,libm,,C99
lgammal,math.h,libm,,C99
link,unistd.h,libc,,POSIX&UNIX
linkat,unistd.h,,,
lio_listio,,,,
listen,sys/socket.h,,,POSIX&UNIX
llabs,stdlib.h,libc,,C99
lldiv,stdlib.h,libc,,C99
llrint,math.h,libm,,C99
llrintf,math.h,libm,,C99
llrintl,math.h,libm,,C99
llround,math.h,libm,,C99
llroundf,math.h,libm,,C99
llroundl,math.h,libm,,C99
localeconv,locale.h,libc,,C89
localtime,time.h,libc,,C89
localtime_r,time.h,,,
lockf,unistd.h,libc,,UNIX
log10,math.h,libm,,C89
log10f,math.h,libm,,C99
log10l,math.h,libm,,C99
log1p,math.h,libm,,C99
log1pf,math.h,libm,,C99
log1pl,math.h,libm,,C99
log2,math.h,libm,,C99
log2f,math.h,libm,,C99
log2l,math.h,libm,,C99
log,math.h,libm,,C89
logb,math.h,libm,,C99
logbf,math.h,libm,,C99
logbl,math.h,libm,,C99
logf,math.h,libm,,C99
logl,math.h,libm,,C99
longjmp,setjmp.h,libc,,C89
lrand48,stdlib.h,libc,xopen/rand48.c,UNIX
lrint,math.h,libm,,C99
lrintf,math.h,libm,,C99
lrintl,math.h,libm,,C99
lround,math.h,libm,,C99
lroundf,math.h,libm,,C99
lroundl,math.h,libm,,C99
lsearch,search.h,,,UNIX
lseek,unistd.h,libc,,POSIX&UNIX
lstat,sys/stat.h,libc,,POSIX&UNIX
malloc,stdlib.h,libc,,C89
mblen,stdlib.h,libc,string/tchar.c,C89
mbrlen,wchar.h,libc,string/tchar.c,C95
mbrtowc,wchar.h,libc,string/tchar.c,C95
mbsinit,wchar.h,libc,string/tchar.c,C95
mbsnrtowcs,,,,
mbsrtowcs,wchar.h,libc,string/tchar.c,C95
mbstowcs,stdlib.h,libc,string/tchar.c,C89
mbtowc,stdlib.h,libc,string/tchar.c,C89
memccpy,,libc,,UNIX
memchr,string.h,libc,,C89
memcmp,string.h,libc,,C89
memcpy,string.h,libc,,C89
memmove,string.h,libc,,C89
memset,string.h,libc,,C89
mkdir,sys/stat.h,libc,,POSIX&UNIX
mkdirat,sys/stat.h,,,
mkdtemp,,,,
mkfifo,sys/stat.h,libc,,POSIX&UNIX
mkfifoat,sys/stat.h,,,
mknod,sys/stat.h,libc,,UNIX
mknodat,sys/stat.h,libc,,
mkstemp,stdlib.h,,,
mktime,time.h,libc,,C89
mlock,sys/mman.h,libc,,
mlockall,sys/mman.h,libc,,
mmap,sys/mman.h,libc,,
modf,math.h,libm,,C89
modff,math.h,libm,,C99
modfl,math.h,libm,,C99
mprotect,sys/mman.h,libc,,
mq_close,,librt,,
mq_getattr,,librt,,
mq_notify,,librt,,
mq_open,,librt,,
mq_receive,,librt,,
mq_send,,librt,,
mq_setattr,,librt,,
mq_timedreceive,,librt,,
mq_timedsend,,librt,,
mq_unlink,,librt,,
mrand48,stdlib.h,libc,xopen/rand48.c,UNIX
msgctl,sys\msg.h,,,UNIX
msgget,sys\msg.h,,,UNIX
